Villain	Year first	Year last	Doc. no.	Doctor actor	Episodes	Motivation (invasion earth, kill humans, etc)	Story titles
Cranleigh, George	1982	1982	5	Peter Davison	2	Kill humans	Black Orchid
Vaughn, Tobias	1968	1968	2	Patrick Troughton	8	Kill the Doctor	The Invasion
Broton	1975	1975	4	Tom Baker 	4	Power	Terror of the Zygons
Snowmen, The	2012	2012	11	Matt Smith	1	Serve Big Bad	The Snowmen
Cyberman Android	1982	1982	5	Peter Davison	4	Destroy the world	Earthshock
Wrack	1983	1983	5	Peter Davison	4	Compete for enlightenment	Enlightenment
Weeping Angels	2007	2012	10,11	David Tennant, Matt Smith	4	Kill, trap in time	Blink, The Time of Angels/Flesh and Stone, The Angels Take Manhattan
Saxon, Lucy	2007	2010	10	David Tennant	4	Serve big bad	The End of time, The Sound of Drums/Last of the Time Lords
Cult of Skaro (inc Dalek Sec and three others) 	2006	2007	10	David Tennant	4	Earth invasion/Human extermination/Human-Dalek hybrid	Army of Ghosts/Doomsday, Daleks in Manhattan/Evolution of the Daleks
Cyber-leader	1975	1988	1,2,3,4,5,6,7	William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester Mc Coy 	14	Serve big bad 	Revenge of the Cybermen, Silver Nemesis, Earthshock, The Five Doctors, Attack of the Cybermen, Silver Nemesis
White Robot	1968	1968	2	Patrick Troughton	5	Serve big bad 	The Mind Robber 
Chip	2006	2006	10	David Tennant	1	Serve big bad 	New Earth
Kal	1963	1963	1	William Hartnell	4	Power	An Unearthy Child
Host (the)	2006	2006	10	David Tennant	1	Kill everything	Tooth and Claw
Tryst	1979	1979	4	Tom Baker	4	Make money	Nightmare of Eden
Super Voc SV7 robot	1977	1977	4	Tom Baker	4	Serve big bad	The Robots of Death
Grover, Charles	1974	1974	3	Jon Pertwee	6	Power	Invasion of the Dinosaurs
Seers	1978	1978	4	Tom Baker	4	Serve big bad	Underworld
Haemovores (inc Ancient One)	1989	1989	7	Sylvester McCoy	4	Serve big bad	The Curse of Fenric
Smilers (Winders)	2010	2010	11	Matt Smith	1	Serve big bad	The Beast Below
Dream Lord	2010	2010	11	Matt Smith	1	Defeat the Doctor	Amy's Choice
Hieronymous	1976	1976	4	Tom Baker	4	Power/ serve big bad	The Masque of Mandragora
Horda	1977	1977	4	Tom Baker	4	Kill everything	The Face of Evil
War Chief	1969	1969	2	Patrick Troughton	10	Kidnapp	The War Games
Vashta Nerada	2008	2008	10	David Tennant	2	Consume lifeforms	Silence in the Library/Forest of the Dead
Soloman	2012	2012	11	Matt Smith	1	Profit	Dinosaurs on a Spaceship
Peg dolls	2011	2011	11	Matt Smith	1	Turn humans into dolls	Night terrors
Father Angelo	2006	2006	10	David Tennant	1	Kill humans	Tooth and Claw
Great One (Giant Spiders of Metebelis III)	1974	1974	3	Jon Pertwee	6	Universe domination	Planet of the Spiders
Blowfish	2010	2010	11	Matt Smith	1	Imprison the Doctor	The Pandorica Opens (see Alliance above)
Sneed, Gabriel	2005	2005	9	Christopher Eccleston	1	Self interest	The Unquiet Dead
Simeon, Dr	2012	2012	11	Matt Smith	1	Serve big bad	The Snowmen
Mrs Gillyflower	2013	2013	11	Matt Smith	1	Divine justice	The Crimson Horror
Quillam	1985	1985	6	Colin Baker 	2	Experiments on humans	Vengeance on Varos
Grugger	1980	1980	4	Tom Baker	4	Serve big bad	Meglos
Number 79B, Alckman Road	2010	2010	11	Matt Smith	1	Capture humans	The Lodger
Empty Child	2005	2005	9	Christopher Eccleston	2	Kill humans	The Empty Child/The Doctor Dances
Droid, Anne 	2005	2005	9,10	Christopher Eccleston, David Tennant	2	Kill humans	Bad Wolf, The Parting of the Ways
Helen A	1988	1988	7	Sylvester McCoy	3	Human dictatorship/enslavement	The Happiness Patrol
Meglos	1980	1980	4	Tom Baker	4	Kill the Doctor	Meglos
Grey Lady robot	1965	1965	1	William Hartnell	6	Serve big bad	The Chase
Stike	1985	1985	2,6	Patrick Troughton, Colin Baker	3	Make time machine	The Two Doctors
Kandyman	1988	1988	7	Sylvester McCoy	3	Dictatorship/enslavement	The Happiness Patrol
Cybermen	1966	2013	1, 2, 3, 4, 5, 6, 7, 10, 11	William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy, David Tennant, Matt Smith	57	Earth invasion/Human extermination	The Wheel in space, The Tenth Planet, The Moonbase, The Tomb of the Cybermen, The Wheel in Space, The Invasion, Revenge of the Cybermen, Earthshock, The Five Doctors, Attack of the Cybermen, Silver Nemesis, Rise of the Cybermen/The Age of Steel, Army of Ghosts/Doomsday, The Next Doctor, The Pandorica Opens, The War Games, The Mind of Evil, Carnival of Monsters, Logopolis, Mawdryn Undead, Dalek, Human Nature, A Good Man Goes to War, Closing Time, Nightmare in Silver
